time,jogos,pontos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo_gols,posicao_r19,temporada,aproveitamento,distancia_para_16,distancia_para_z4,pontos_por_jogo,gols_pro_por_jogo,gols_contra_por_jogo,saldo_por_jogo,aproveitamento_ultimos_5,variacao_posicao_ultimas_5,percentual_pontos_casa,percentual_pontos_fora,posicao_final,rebaixado,serie_a_last_5,previous_season_position,previous_season_score,squad_strength_0_100,recent_points_last5,recent_goal_diff_last5,elo_ajustado
Goias,19,19,4,7,8,16,16,0,17,2015,0.3333333333333333,-1,0,1.0,0.8421052631578947,0.8421052631578947,0.0,0.4,-1,0.5263157894736842,0.47368421052631576,19,1,1.0,12.0,9.0,68.6,6.0,0.0,1470.2902858978073
Coritiba,19,18,4,6,9,13,23,-10,18,2015,0.3157894736842105,-2,-1,0.9473684210526315,0.6842105263157895,1.2105263157894737,-0.5263157894736842,0.5333333333333333,1,0.7222222222222222,0.2777777777777778,15,0,1.0,14.0,7.0,65.8,8.0,-2.631578947368421,1452.3812511913577
Joinville,19,16,4,4,11,13,21,-8,19,2015,0.2807017543859649,-4,-3,0.8421052631578947,0.6842105263157895,1.105263157894737,-0.42105263157894735,0.4666666666666667,1,0.6875,0.3125,20,1,0.0,22.0,-1.0,48.6,7.0,-2.1052631578947367,1426.1537486072855
Vasco,19,13,3,4,12,8,31,-23,20,2015,0.22807017543859648,-7,-6,0.6842105263157895,0.42105263157894735,1.631578947368421,-1.2105263157894737,0.06666666666666667,-2,0.6923076923076923,0.3076923076923077,18,1,0.0,22.0,-1.0,48.6,1.0,-6.052631578947368,1590.4849872061493
Corinthians,19,47,14,5,0,32,9,23,1,2017,0.8245614035087719,25,28,2.473684210526316,1.6842105263157894,0.47368421052631576,1.2105263157894737,0.7333333333333333,0,0.5106382978723404,0.48936170212765956,1,0,2.0,22.0,-1.0,60.6,11.0,6.052631578947368,1761.101341751857
Gremio,19,39,12,3,4,35,18,17,2,2017,0.6842105263157895,17,20,2.0526315789473686,1.8421052631578947,0.9473684210526315,0.8947368421052632,0.7333333333333333,0,0.48717948717948717,0.5128205128205128,4,0,2.0,22.0,-1.0,60.6,11.0,4.473684210526316,1612.9657922808278
Santos,19,35,10,5,4,22,13,9,3,2017,0.6140350877192983,13,16,1.8421052631578947,1.1578947368421053,0.6842105263157895,0.47368421052631576,0.7333333333333333,0,0.6285714285714286,0.37142857142857144,3,0,2.0,22.0,-1.0,60.6,11.0,2.3684210526315788,1506.5020341558495
Palmeiras,19,32,10,2,7,28,20,8,4,2017,0.5614035087719298,10,13,1.6842105263157894,1.4736842105263157,1.0526315789473684,0.42105263157894735,0.6666666666666666,1,0.59375,0.40625,2,0,2.0,22.0,-1.0,60.6,10.0,2.1052631578947367,1725.3631138841113
Flamengo,19,29,7,8,4,27,19,8,5,2017,0.5087719298245614,7,10,1.5263157894736843,1.4210526315789473,1.0,0.42105263157894735,0.3333333333333333,-1,0.5172413793103449,0.4827586206896552,6,0,2.0,22.0,-1.0,60.6,5.0,2.1052631578947367,1731.955368962229
Sport,19,28,8,4,7,30,26,4,6,2017,0.49122807017543857,6,9,1.4736842105263157,1.5789473684210527,1.368421052631579,0.21052631578947367,0.4666666666666667,2,0.6428571428571429,0.35714285714285715,15,0,2.0,22.0,-1.0,60.6,7.0,1.0526315789473684,1509.7041382172438
